Constraints,Affine Map,PEG LDPC,Sparse Parity,Dense Parity
0,86.78681913297623,86.78681913297623,86.78681913297623,86.78681913297623
1,86.77076166728511,86.78681913297623,85.86949956603348,86.44568892172538
2,85.69668031809852,85.84591669240035,86.10455871047452,85.44267710088752
3,85.97634053276852,85.3751325411722,85.49311377597041,85.36266207508743
4,85.00688253575936,85.47497441619635,85.19682448869571,85.0703774264548
5,83.98551803384908,84.53716999967583,84.77259590732865,84.99083275580779
6,81.41475231922232,82.76040227734484,84.72275079693645,84.79147897614166
7,82.7846210913267,83.02365387300961,82.11759210843593,82.04376065451652
8,80.03762987838127,81.92697064671665,80.20340509293601,80.64706007787026
9,79.94366691354662,78.52991443802603,76.98780563217588,78.32790232729167
10,79.12690606736578,78.74223930900916,72.64188641868532,74.78160648257472
11,80.43423089105636,78.85396296950057,73.18979025445879,76.67847071494907
12,78.19290970172733,71.43837610445917,76.51609781710431,73.5599554113578
13,77.66922246129252,72.40627085068263,76.66825969726779,72.92874024133198
14,77.2499339224305,70.65283371694386,70.62527246470563,67.78199637006037
15,76.17067597480491,65.14228171855211,74.07137562031858,67.95543439965695
16,73.59634292777628,64.25693252927158,66.35465261945501,64.15686747082509
17,74.5833487950731,73.05385351390578,69.13018024689518,65.38988936389796
18,73.65135425236076,66.2403507840354,66.45482564647682,69.57811770262197
19,71.87649310519919,69.4317162358202,61.26485928869806,58.3066871521296
20,72.57763955369592,66.3107576253824,66.31492544990033,62.00494358281139
21,69.55861629359424,63.500055327429436,60.97135045751929,72.6147948554717
22,70.25471317884512,66.12017641286366,64.96380277210847,64.910346504068
23,67.70744496909901,60.13727510662284,67.32511892146431,62.007055321359076
24,67.32580628944561,65.32198843429796,61.27463480271399,64.07954019599129
25,65.8649122605566,63.410652746562846,62.37880588974804,62.00869261997286
26,66.20654849545099,61.60178958589677,61.16475512832403,60.34589140792377
27,65.61725684022531,56.20435706304852,59.939838990336284,64.85486247157678
28,65.90357773355208,62.664197701145895,60.67381886881776,59.10464206547476
29,62.10879825230222,59.183907540515065,62.5141269256128,58.55449602077715
30,63.755642852163874,57.63903469534125,57.915603808360174,60.5281180748716
31,64.60157019691542,61.00045131496154,58.396216500899754,53.76434125681408
32,60.715384751558304,53.97280128730927,54.08322321088053,56.324265294591896
33,61.611376976710744,53.305594971752726,54.13806922000367,52.768634201958776
34,58.63966388918925,53.22511812392622,55.89249235833995,58.66801460494753
35,59.39026557945181,53.428108951076865,54.25437352072913,58.59053259436041
36,59.73822643596213,56.27850906550884,55.39148773776833,55.292628737399355
37,57.379762462340295,58.432029476505704,53.90386276948266,58.749892040737905
38,58.16776325763203,53.87042784993537,51.13563502859324,52.08195048989728
39,57.77226076298393,49.772134115337394,54.02118374663405,50.12724409031216
40,56.03691295848694,49.53636050247587,51.10030515212566,52.23080467712134
